frequency[hz];phasevelocity[m/s];vel_min[m/s];vel_max[m/s]
6;626.966073186741;490.61553030303;1000
6.5;546.519527404004;459.703282828283;829.111111111111
7;506.860846734493;450.80303030303;605.333333333334
7.5;469.178700361011;421.7390625;519.85
8;431.998687233344;387.552556818182;469.5
8.5;394.818674105678;353.366051136364;419.15
9;363.718411552347;325.277777777778;378.962121212121
9.5;346.677572202166;311.291666666667;362.274147727273
10;329.636732851986;297.305555555556;345.586174242424
10.5;314.882706394151;285.727756286267;331.291223404255
11;312.509514066853;287.188588007737;329.952127659575
11.5;310.136321739556;288.649419729207;328.613031914894
12;307.763129412258;290.110251450677;327.273936170213
12.5;305.491390693095;291.474101479915;325.969785059901
13;305.203173537067;290.941860465116;325.348837209302
13.5;304.914956381038;290.409619450317;324.727889358703
14;304.62673922501;289.877378435518;324.106941508104
14.5;304.338522068981;289.345137420719;323.485993657505
15;304.050304912953;288.81289640592;322.865045806906
15.5;301.882286211669;286.859683794466;320.142045454545
16;297.032719281974;282.879446640316;314.420454545455
16.5;292.183152352278;278.899209486166;308.698863636364
17;287.333585422583;274.918972332016;302.977272727273
17.5;283.841084688785;272.5;298.367353440952
18;282.451177655976;272.5;295.479821580289
18.5;281.061270623166;272.5;292.592289719626
19;279.671363590356;272.5;289.704757858963
19.5;278.281456557546;272.5;286.817225998301
20;277.681440379787;271.927589852009;286.190803382664
20.5;277.393223223758;271.12922832981;286.456923890063
21;277.10500606773;270.330866807611;286.723044397463
21.5;276.816788911701;269.532505285412;286.989164904863
22;276.528571755673;268.734143763214;287.255285412262
