frequency[hz];groupvelocity[m/s];vel_min[m/s];vel_max[m/s]
3.5;519.45955882353;400.949178743961;10752
4;435.244801354336;351.316996047431;10752
4.5;360.521898976982;304.019875776397;10374.6086956522
5;330.821131713555;275.882136645963;7035.45043478261
5.5;301.120364450128;247.744397515528;3696.29217391304
6;271.419597186701;219.606658385093;357.133913043475
6.5;264.232212076407;216.278069756331;322.796910755149
7;257.188224304668;213.107501194458;309.509725400458
7.5;250.144236532928;209.936932632585;296.222540045767
8;243.104536999852;206.767854894337;282.944826673223
8.5;240.803341189153;205.246137261948;280.133653573387
9;238.502145378453;203.724419629558;277.322480473552
9.5;236.200949567754;202.202701997168;274.511307373716
10;233.899753757054;200.680984364779;271.700134273881
10.5;231.598557946355;199.159266732389;268.888961174045
11;231.525735294118;199.83399058826;267.538487156341
11.5;231.525735294118;200.580493577734;266.235748402759
12;231.525735294118;201.326996567208;264.933009649177
12.5;231.525735294118;202.073499556682;263.630270895594
13;231.525735294118;202.820002546157;262.327532142012
13.5;232.184571837585;203.644733293089;262.243902439024
14;232.888603931376;204.4748303886;262.243902439024
14.5;233.592636025168;205.304927484111;262.243902439024
15;234.29666811896;206.135024579622;262.243902439024
15.5;234.83455882353;206.769230769231;262.243902439024
16;234.83455882353;206.769230769231;262.243902439024
16.5;234.83455882353;206.769230769231;262.243902439024
17;234.83455882353;206.769230769231;262.243902439024
17.5;234.83455882353;206.769230769231;262.243902439024
18;234.687460038363;206.769230769231;262.243902439024
18.5;234.289681905371;206.769230769231;262.243902439024
19;233.891903772379;206.769230769231;262.243902439024
19.5;233.494125639386;206.769230769231;262.243902439024
20;233.004343801978;206.769230769231;261.610563734925
20.5;232.169844222274;206.769230769231;258.604243534351
21;231.33534464257;206.769230769231;255.597923333776
21.5;230.500845062866;206.769230769231;252.591603133202
22;229.666345483161;206.769230769231;249.585282932627
