Frequency[hz];G14_G9;G2_G7;G4_G7
0.5;;;
1;;;
1.5;;;
2;;;
2.5;;;
3;;;
3.5;;;
4;;;
4.5;;;
5;;;
5.5;;;733.250601684717
6;626.966073186741;627.199303830777;604.497593261131
6.5;546.519527404004;568.624142483865;557.888086642599
7;506.860846734493;510.048981136953;513.455675892499
7.5;469.178700361011;471.589555615057;469.023265142399
8;431.998687233344;437.072049821341;443.506913697977
8.5;394.818674105678;402.554544027625;424.072497332153
9;363.718411552347;387.155895897969;404.638080966328
9.5;346.677572202166;378.832525706576;385.203664600504
10;329.636732851986;370.509155515183;365.76924823468
10.5;314.882706394151;362.185785323791;347.003120364929
11;312.509514066853;355.04299911606;336.787423390144
11.5;310.136321739556;349.427711092202;326.571726415358
12;307.763129412258;343.812423068344;316.356029440573
12.5;305.491390693095;338.197135044486;306.140332465788
13;305.203173537067;329.865272246827;298.139075124635
13.5;304.914956381038;321.432691949831;292.729284854736
14;304.62673922501;313.000111652834;287.319494584838
14.5;304.338522068981;304.567531355838;281.909704314939
15;304.050304912953;300.304788941269;276.49991404504
15.5;301.882286211669;299.69162530648;271.090123775142
16;297.032719281974;299.078461671691;267.588177377942
16.5;292.183152352278;298.465298036902;266.373144269194
17;287.333585422583;297.852134402113;265.158111160447
17.5;283.841084688785;297.459844085178;263.9430780517
18;282.451177655976;297.789135666824;262.728044942953
18.5;281.061270623166;298.11842724847;261.513011834205
19;279.671363590356;298.447718830116;260.297978725458
19.5;278.281456557546;298.777010411762;
20;277.681440379787;299.34162121331;
20.5;277.393223223758;300.452980301366;
21;277.10500606773;301.564339389421;
21.5;276.816788911701;302.675698477476;
22;276.528571755673;303.787057565531;
22.5;;301.007783430434;
23;;297.869828358278;
23.5;;294.731873286122;
24;;291.593918213966;
